Date, Open, High, Low, Close
09/17/18, 27029.91, 27037.48, 26763.21, 26932.85
09/14/18, 27229.79, 27340.02, 27027.45, 27286.41
09/13/18, 26798.39, 27014.49, 26648.77, 27014.49
09/12/18, 26462.82, 26468.91, 26219.56, 26345.04
09/11/18, 26611.93, 26690.65, 26394.87, 26422.55
09/10/18, 26922.27, 26926.63, 26453.29, 26613.42
09/07/18, 26895.87, 27196.57, 26669.58, 26973.47
09/06/18, 27069.21, 27268.39, 26818.82, 26974.82
09/05/18, 27789.02, 27861.99, 27208.34, 27243.85
09/04/18, 27619.18, 27984.89, 27563.79, 27973.34
09/03/18, 27809.45, 27822.19, 27577.04, 27712.54
08/31/18, 27798.21, 27962.03, 27720.32, 27888.55
08/30/18, 28533.93, 28533.93, 28121.40, 28164.05
08/29/18, 28362.84, 28485.83, 28272.13, 28416.44
08/28/18, 28530.89, 28579.64, 28234.53, 28351.62
08/27/18, 28016.66, 28289.06, 27956.04, 28271.27
08/24/18, 27565.98, 27830.91, 27532.06, 27671.87
08/23/18, 28005.33, 28051.65, 27659.21, 27790.46
08/22/18, 27836.68, 27954.52, 27579.80, 27927.58
08/21/18, 27670.54, 27771.30, 27526.30, 27752.79
08/20/18, 27273.78, 27609.80, 27209.22, 27598.02
08/17/18, 27388.57, 27450.84, 27101.10, 27213.41
08/16/18, 26871.11, 27405.25, 26871.11, 27100.06
08/15/18, 27724.72, 27727.27, 27249.08, 27323.59
08/14/18, 27938.32, 27946.55, 27522.82, 27752.93
08/13/18, 27956.78, 28085.17, 27823.21, 27936.57
08/10/18, 28614.73, 28665.90, 28296.99, 28366.62
08/09/18, 28260.50, 28728.17, 28192.81, 28607.30
08/08/18, 28473.48, 28473.48, 28224.46, 28359.14
08/07/18, 27889.44, 28266.68, 27843.16, 28248.88
08/06/18, 27885.51, 28074.53, 27730.42, 27819.56
08/03/18, 27751.60, 27786.15, 27604.56, 27676.32
08/02/18, 28159.01, 28218.28, 27578.09, 27714.56
